metric,value
retrieval_result_count,1
average_similarity_score,0.2225
max_similarity_score,0.2225
min_similarity_score,0.2225
generated_answer_available,True
used_citation_count,1
generation_mode,mock_local_generation
citation_validation_passed,True
evaluation_question_count,6
average_overall_score,0.8729
average_keyword_coverage_score,0.8333
average_groundedness_score,0.8125
average_answer_completeness_score,0.9167
citation_valid_rate,1.0
insufficient_evidence_handled_rate,1.0
query_allowed,True
query_risk_level,low
answer_allowed,True
answer_risk_level,low
triggered_rule_count,0
missing_artifact_count,0
pipeline_health_status,healthy
